group,group_rationale,variable_key,label,skip_condition,explanation,scripts
Dumpsite / unknown-origin baby,DU = Dumpsite: baby found abandoned with no history. Maternal/birth history fields are structurally inapplicable.,RFSepsis,Risk Factors for Sepsis / Risk Factors for Sepsis ,$AdmReason != 'DU' | $AdmReason != 'DU' or $ReferredFrom2 != 'DU' | $AdmReason != 'DUM' | $NeoTreeOutcome = 'BID' | $NeoTreeOutcome = 'BID' and $TypeBID != 'DU',"Shown when admission reason is not Dumpsite (abandoned baby)
Shown when admission reason is not Dumpsite (abandoned baby) or referral source is not Dumpsite (abandoned baby)
Shown when admission reason is not Abandoned baby
Shown when patient outcome is Brought in dead (arrived deceased)
Shown when patient outcome is Brought in dead (arrived deceased), and type of BID case is not Dumpsite (abandoned baby)","Bindura Hospital Admission, Chinhoyi Provincial Hospital Admission, Generic PHC Admission, Kasungu District Hospital Neotree Admission, Kasungu District Hospital Neotree Discharge, NeoDischarge, Neotree Admission, Parirenyatwa Group of Hospitals Admission, Parirenyatwa Group of Hospitals Discharge, Sally Mugabe CH Admission, Sally Mugabe CH Discharge"
Dumpsite / unknown-origin baby,DU = Dumpsite: baby found abandoned with no history. Maternal/birth history fields are structurally inapplicable.,ROMLength,How long between ROM and birth?,!$AdmReason = 'BBA' | $ROM = 'Nat' | $ROM = 'Y',"Shown when admission reason is not Born Before Arrival
Shown when rupture of membranes is Spontaneous
Shown when rupture of membranes is Yes","Generic PHC Admission, Kasungu District Hospital Neotree Admission, Kasungu District Hospital Neotree Discharge, NeoDischarge, Neotree Admission, Parirenyatwa Group of Hospitals Discharge, Sally Mugabe CH Discharge"
Dumpsite / unknown-origin baby,DU = Dumpsite: baby found abandoned with no history. Maternal/birth history fields are structurally inapplicable.,RPR,Has the mother had an RPR test?,$AdmReason != 'DU',Shown when admission reason is not Dumpsite (abandoned baby),Parirenyatwa Group of Hospitals Admission
Dumpsite / unknown-origin baby,DU = Dumpsite: baby found abandoned with no history. Maternal/birth history fields are structurally inapplicable.,RVI,Is the baby RVI exposed?,$AdmReason != 'DU',Shown when admission reason is not Dumpsite (abandoned baby),Parirenyatwa Group of Hospitals Admission
Dumpsite / unknown-origin baby,DU = Dumpsite: baby found abandoned with no history. Maternal/birth history fields are structurally inapplicable.,ReferredFrom,Name of Referring Facility / Name of referring Facility / Name of referring facility,$InOrOut = 'Out' and $ReferredFrom2 = 'F' | $InOrOut = false and $ReferredFrom2 = 'F' | $NeoTreeOutcome = 'BID' and $InOrOut = false and $ReferredFrom2 = 'F | $NeoTreeOutcome = 'BID' and $InOrOut = false and $ReferredFrom2 = 'F' | $OutFacility = 'Oth' | $ReferredFrom2 = 'F',"Shown when admitted from within facility is Outside PHC, and referral source is Other Facility
Shown when admitted from within facility: No, and referral source is Other Facility
Shown when patient outcome is Brought in dead (arrived deceased), and admitted from within facility: No, and referral source is Other Facility
Shown when Where was the patient referred from is Other Facility
Shown when referral source is Other Facility","Bindura Hospital Admission, Chinhoyi Provincial Hospital Admission, DHIS2 Mat Outcomes (Retro Data) - Malawi, Generic PHC Admission, Kasungu District Hospital Neotree Admission, Kasungu District Hospital Neotree Discharge, Maternal Outcomes (Retrospective Data) - Malawi, NeoDischarge, Neotree Admission, Parirenyatwa Group of Hospitals Admission, Parirenyatwa Group of Hospitals Discharge, Sally Mugabe CH Admission, Sally Mugabe CH Discharge"
Dumpsite / unknown-origin baby,DU = Dumpsite: baby found abandoned with no history. Maternal/birth history fields are structurally inapplicable.,Religion,Mother's religion,$AdmReason != 'DU' | $AdmReason != 'DU' or $ReferredFrom2 != 'DU' | $NeoTreeOutcome = 'BID' | $NeoTreeOutcome = 'BID' and $TypeBID != 'DU',"Shown when admission reason is not Dumpsite (abandoned baby)
Shown when admission reason is not Dumpsite (abandoned baby) or referral source is not Dumpsite (abandoned baby)
Shown when patient outcome is Brought in dead (arrived deceased)
Shown when patient outcome is Brought in dead (arrived deceased), and type of BID case is not Dumpsite (abandoned baby)","Bindura Hospital Admission, Chinhoyi Provincial Hospital Admission, Generic PHC Admission, Kasungu District Hospital Neotree Admission, Kasungu District Hospital Neotree Discharge, NeoDischarge, Neotree Admission, Parirenyatwa Group of Hospitals Admission, Parirenyatwa Group of Hospitals Discharge, Sally Mugabe CH Admission, Sally Mugabe CH Discharge"
Dumpsite / unknown-origin baby,DU = Dumpsite: baby found abandoned with no history. Maternal/birth history fields are structurally inapplicable.,Resus,Resuscitation given,!($AdmReason = 'DU' or $ReferredFrom2 = 'DU') | $AdmReason != 'DU' | $AdmReason != 'DU' or $ReferredFrom2 != 'DU' | $NeoTreeOutcome = 'BID' | $NeoTreeOutcome = 'DC' or $NeoTreeOutcome = 'ABS' or $NeoTreeOutcome = 'TRH' or $NeoTreeOutcome = 'TRO' or $NeoTreeOutcome = 'NND<24' or $NeoTreeOutcome = 'NND>24' or $NeoTreeOutcome = 'DCR' or $NeoTreeOutcome = 'DPC' | $NeoTreeOutcome = 'DC' or $NeoTreeOutcome = 'ABS' or $NeoTreeOutcome = 'TRH' or $NeoTreeOutcome = 'TRO' or $NeoTreeOutcome = 'NND<24' or $NeoTreeOutcome = 'NND>24' or $NeoTreeOutcome = 'DCR' or $NeoTreeOutcome = 'DPC' or $NeoTreeOutcome = 'DCKMC',"Shown when NOT (admission reason is Dumpsite (abandoned baby) or referral source is Dumpsite (abandoned baby))
Shown when admission reason is not Dumpsite (abandoned baby)
Shown when admission reason is not Dumpsite (abandoned baby) or referral source is not Dumpsite (abandoned baby)
Shown when patient outcome is Brought in dead (arrived deceased)
Shown when patient outcome is Discharged or patient outcome is Absconded or patient outcome is Transferred to other hospital or patient outcome is Transferred to other ward or patient outcome is Death (at LESS than 24 hrs of age) or patient outcome is Death (at MORE than 24 hrs of age) or patient outcome is Discharged on Request or patient outcome is Discharge on Palliative Care
Shown when patient outcome is Discharged or patient outcome is Absconded or patient outcome is Transferred to other hospital or patient outcome is Transferred to other ward or patient outcome is Death (at LESS than 24 hrs of age) or patient outcome is Death (at MORE than 24 hrs of age) or patient outcome is Discharged on Request or patient outcome is Discharge on Palliative Care or patient outcome is Discharge on KMC","Bindura Hospital Admission, Chinhoyi Provincial Hospital Admission, Generic PHC Admission, Kasungu District Hospital Neotree Admission, Kasungu District Hospital Neotree Discharge, NeoDischarge, Neotree Admission, Parirenyatwa Group of Hospitals Admission, Parirenyatwa Group of Hospitals Discharge, Sally Mugabe CH Admission, Sally Mugabe CH Discharge"
Dumpsite / unknown-origin baby,DU = Dumpsite: baby found abandoned with no history. Maternal/birth history fields are structurally inapplicable.,S2SDR,Was skin to skin started in the delivery room?,!($AdmReasonOth = 'DU' or $AdmReason = 'DU'),Shown when NOT (other admission reason is Dumpsite (abandoned baby) or admission reason is Dumpsite (abandoned baby)),Parirenyatwa Group of Hospitals Admission
Dumpsite / unknown-origin baby,DU = Dumpsite: baby found abandoned with no history. Maternal/birth history fields are structurally inapplicable.,SURF,Surfactant in delivery room?,!($AdmReasonOth = 'DU' or $AdmReason = 'DU'),Shown when NOT (other admission reason is Dumpsite (abandoned baby) or admission reason is Dumpsite (abandoned baby)),Parirenyatwa Group of Hospitals Admission
Dumpsite / unknown-origin baby,DU = Dumpsite: baby found abandoned with no history. Maternal/birth history fields are structurally inapplicable.,TTV,TTV,$NeoTreeOutcome = 'BID' and $TypeBID != 'DU',"Shown when patient outcome is Brought in dead (arrived deceased), and type of BID case is not Dumpsite (abandoned baby)","Kasungu District Hospital Neotree Discharge, NeoDischarge"
Dumpsite / unknown-origin baby,DU = Dumpsite: baby found abandoned with no history. Maternal/birth history fields are structurally inapplicable.,Tribe,Mother's Tribe,$AdmReason != 'DU' | $NeoTreeOutcome = 'BID' and $TypeBID != 'DU',"Shown when admission reason is not Dumpsite (abandoned baby)
Shown when patient outcome is Brought in dead (arrived deceased), and type of BID case is not Dumpsite (abandoned baby)","Generic PHC Admission, Kasungu District Hospital Neotree Admission, Kasungu District Hospital Neotree Discharge, NeoDischarge, Neotree Admission"
Dumpsite / unknown-origin baby,DU = Dumpsite: baby found abandoned with no history. Maternal/birth history fields are structurally inapplicable.,TypeBirth,Type of Birth / Type of Birth	,$AdmReason != 'DU' | $AdmReason != 'DUM' | $DidMotherGaveBirth = 'Y' | $TypeBID != 'DU',"Shown when admission reason is not Dumpsite (abandoned baby)
Shown when admission reason is not Abandoned baby
Shown when mother gave birth at this facility is Yes
Shown when type of BID case is not Dumpsite (abandoned baby)","DHIS2 Mat Outcomes (Retro Data) - Malawi, Generic PHC Admission, Kasungu District Hospital Neotree Discharge, Maternal Outcomes (Retrospective Data) - Malawi, NeoDischarge, Parirenyatwa Group of Hospitals Admission"
Brought In Dead (BID) — outcome routing,BID = Brought In Dead: the baby arrived at the facility already deceased. The form routes to a specific set of fields for BID cases, hiding fields that are only relevant for live admissions (e.g. treatments, feeding, follow-up). This is the most frequent source of -7 codes after dumpsite cases.,BFeed,Breastfeeding,$NeoTreeOutcome = 'LB' and $MatOutcome = 'S',"Shown when patient outcome is Live Birth, and maternal outcome is Survived",DHIS2 Mat Outcomes (Retro Data) - Malawi
Brought In Dead (BID) — outcome routing,BID = Brought In Dead: the baby arrived at the facility already deceased. The form routes to a specific set of fields for BID cases, hiding fields that are only relevant for live admissions (e.g. treatments, feeding, follow-up). This is the most frequent source of -7 codes after dumpsite cases.,BirthFacility,Name of Birth Facility / Name of Facility,$BirthPlaceSame = false and $PlaceBirth = 'Hosp' or $PlaceBirth = 'HC' | $BirthPlaceSame = false and $PlaceBirth = 'Hosp' or $PlaceBirth = 'HC' and $BirthPlaceTown = true | $NeoTreeOutcome = 'BID' and ($BirthPlaceSame = false and $PlaceBirth = 'Hosp' or $PlaceBirth = 'HC') | $PlaceBirth = 'Hosp' or $PlaceBirth = 'HC',"Shown when birth place same as current facility: No, and place of birth is Hospital or place of birth is Health Centre
Shown when birth place same as current facility: No, and place of birth is Hospital or place of birth is Health Centre, and birth place town: Yes
Shown when patient outcome is Brought in dead (arrived deceased), and birth place same as current facility: No, and place of birth is Hospital or place of birth is Health Centre
Shown when place of birth is Hospital or place of birth is Health Centre","Bindura Hospital Admission, Chinhoyi Provincial Hospital Admission, Generic PHC Admission, Kasungu District Hospital Neotree Admission, Kasungu District Hospital Neotree Discharge, NeoDischarge, Neotree Admission, Parirenyatwa Group of Hospitals Admission, Parirenyatwa Group of Hospitals Discharge, Sally Mugabe CH Admission, Sally Mugabe CH Discharge"
Brought In Dead (BID) — outcome routing,BID = Brought In Dead: the baby arrived at the facility already deceased. The form routes to a specific set of fields for BID cases, hiding fields that are only relevant for live admissions (e.g. treatments, feeding, follow-up). This is the most frequent source of -7 codes after dumpsite cases.,Bloods1,Bloods1,$NeoTreeOutcome != 'BID' | ($NeoTreeOutcome != 'BID') and ($DRU = false),"Shown when patient outcome is not Brought in dead (arrived deceased)
Shown when patient outcome is not Brought in dead (arrived deceased), and drug used: No","Parirenyatwa Group of Hospitals Discharge, Sally Mugabe CH Discharge"
Brought In Dead (BID) — outcome routing,BID = Brought In Dead: the baby arrived at the facility already deceased. The form routes to a specific set of fields for BID cases, hiding fields that are only relevant for live admissions (e.g. treatments, feeding, follow-up). This is the most frequent source of -7 codes after dumpsite cases.,CauseDeath,Causes of death,$NeoTreeOutcome = 'NND<24' or $NeoTreeOutcome = 'NND>24',Shown when patient outcome is Death (at LESS than 24 hrs of age) or patient outcome is Death (at MORE than 24 hrs of age),"Kasungu District Hospital Neotree Discharge, NeoDischarge"
Brought In Dead (BID) — outcome routing,BID = Brought In Dead: the baby arrived at the facility already deceased. The form routes to a specific set of fields for BID cases, hiding fields that are only relevant for live admissions (e.g. treatments, feeding, follow-up). This is the most frequent source of -7 codes after dumpsite cases.,ContCauseDeath,Significant contributing diagnosis e.g. Surgical condition,$NeoTreeOutcome = 'NND' | $NeoTreeOutcome = 'NND<24' or $NeoTreeOutcome = 'NND>24',"Shown when patient outcome is Died
Shown when patient outcome is Death (at LESS than 24 hrs of age) or patient outcome is Death (at MORE than 24 hrs of age)","Bindura Hospital Discharge, Chinhoyi Provincial Hospital Discharge, Kasungu District Hospital Neotree Discharge, NeoDischarge, Parirenyatwa Group of Hospitals Discharge, Sally Mugabe CH Discharge"
Brought In Dead (BID) — outcome routing,BID = Brought In Dead: the baby arrived at the facility already deceased. The form routes to a specific set of fields for BID cases, hiding fields that are only relevant for live admissions (e.g. treatments, feeding, follow-up). This is the most frequent source of -7 codes after dumpsite cases.,DIAGDIS1OTH,"If other primary diagnosis, what?",($NeoTreeOutcome = 'DC' or $NeoTreeOutcome = 'ABS' or $NeoTreeOutcome = 'TRH' or $NeoTreeOutcome = 'TRO') and $DIAGDIS1 = 'OTH',"Shown when patient outcome is Discharged or patient outcome is Absconded or patient outcome is Transferred to other hospital or patient outcome is Transferred to other ward, and discharge diagnosis is Other",Sally Mugabe CH Discharge
Brought In Dead (BID) — outcome routing,BID = Brought In Dead: the baby arrived at the facility already deceased. The form routes to a specific set of fields for BID cases, hiding fields that are only relevant for live admissions (e.g. treatments, feeding, follow-up). This is the most frequent source of -7 codes after dumpsite cases.,DateDischVitals,Date and Time of last recorded Vital Signs,!($NeoTreeOutcome = 'NND' or $NeoTreeOutcome = 'DDA' or $NeoTreeOutcome = 'BID' or $NeoTreeOutcome = 'STB'),Shown when NOT (patient outcome is Died or patient outcome is Died During Admission or patient outcome is Brought in dead (arrived deceased) or patient outcome is Stillbirth),Sally Mugabe CH Discharge
Brought In Dead (BID) — outcome routing,BID = Brought In Dead: the baby arrived at the facility already deceased. The form routes to a specific set of fields for BID cases, hiding fields that are only relevant for live admissions (e.g. treatments, feeding, follow-up). This is the most frequent source of -7 codes after dumpsite cases.,DateDischWeight,Date of last recorded weight / Date of weight recorded at discharge,!($NeoTreeOutcome = 'NND' or $NeoTreeOutcome = 'DDA' or $NeoTreeOutcome = 'BID' or $NeoTreeOutcome = 'ABS' or $NeoTreeOutcome = 'STB') | !($NeoTreeOutcome = 'NND' or $NeoTreeOutcome = 'DDA' or $NeoTreeOutcome = 'BID' or $NeoTreeOutcome = 'ABS'),"Shown when NOT (patient outcome is Died or patient outcome is Died During Admission or patient outcome is Brought in dead (arrived deceased) or patient outcome is Absconded or patient outcome is Stillbirth)
Shown when NOT (patient outcome is Died or patient outcome is Died During Admission or patient outcome is Brought in dead (arrived deceased) or patient outcome is Absconded)","Chinhoyi Provincial Hospital Discharge, Parirenyatwa Group of Hospitals Discharge, Sally Mugabe CH Discharge"
Brought In Dead (BID) — outcome routing,BID = Brought In Dead: the baby arrived at the facility already deceased. The form routes to a specific set of fields for BID cases, hiding fields that are only relevant for live admissions (e.g. treatments, feeding, follow-up). This is the most frequent source of -7 codes after dumpsite cases.,DateTimeAdmission,Date/Time of Admission,!$NeoTreeOutcome = 'BID',Shown when patient outcome is not Brought in dead (arrived deceased),Sally Mugabe CH Discharge
Brought In Dead (BID) — outcome routing,BID = Brought In Dead: the baby arrived at the facility already deceased. The form routes to a specific set of fields for BID cases, hiding fields that are only relevant for live admissions (e.g. treatments, feeding, follow-up). This is the most frequent source of -7 codes after dumpsite cases.,DischHR,Last recorded Heart Rate,!($NeoTreeOutcome = 'NND' or $NeoTreeOutcome = 'DDA' or $NeoTreeOutcome = 'BID' or $NeoTreeOutcome = 'STB'),Shown when NOT (patient outcome is Died or patient outcome is Died During Admission or patient outcome is Brought in dead (arrived deceased) or patient outcome is Stillbirth),Sally Mugabe CH Discharge
Brought In Dead (BID) — outcome routing,BID = Brought In Dead: the baby arrived at the facility already deceased. The form routes to a specific set of fields for BID cases, hiding fields that are only relevant for live admissions (e.g. treatments, feeding, follow-up). This is the most frequent source of -7 codes after dumpsite cases.,DischRR,Last Recorded Respiratory Rate,!($NeoTreeOutcome = 'NND' or $NeoTreeOutcome = 'DDA' or $NeoTreeOutcome = 'BID' or $NeoTreeOutcome = 'STB'),Shown when NOT (patient outcome is Died or patient outcome is Died During Admission or patient outcome is Brought in dead (arrived deceased) or patient outcome is Stillbirth),Sally Mugabe CH Discharge
Brought In Dead (BID) — outcome routing,BID = Brought In Dead: the baby arrived at the facility already deceased. The form routes to a specific set of fields for BID cases, hiding fields that are only relevant for live admissions (e.g. treatments, feeding, follow-up). This is the most frequent source of -7 codes after dumpsite cases.,DischSats,Last recorded Saturations,!($NeoTreeOutcome = 'NND' or $NeoTreeOutcome = 'DDA' or $NeoTreeOutcome = 'BID' or $NeoTreeOutcome = 'STB'),Shown when NOT (patient outcome is Died or patient outcome is Died During Admission or patient outcome is Brought in dead (arrived deceased) or patient outcome is Stillbirth),Sally Mugabe CH Discharge
Brought In Dead (BID) — outcome routing,BID = Brought In Dead: the baby arrived at the facility already deceased. The form routes to a specific set of fields for BID cases, hiding fields that are only relevant for live admissions (e.g. treatments, feeding, follow-up). This is the most frequent source of -7 codes after dumpsite cases.,DischTemp,Last Recorded Temperature,!($NeoTreeOutcome = 'NND' or $NeoTreeOutcome = 'DDA' or $NeoTreeOutcome = 'BID' or $NeoTreeOutcome = 'STB'),Shown when NOT (patient outcome is Died or patient outcome is Died During Admission or patient outcome is Brought in dead (arrived deceased) or patient outcome is Stillbirth),Sally Mugabe CH Discharge
Brought In Dead (BID) — outcome routing,BID = Brought In Dead: the baby arrived at the facility already deceased. The form routes to a specific set of fields for BID cases, hiding fields that are only relevant for live admissions (e.g. treatments, feeding, follow-up). This is the most frequent source of -7 codes after dumpsite cases.,DischWeight,Last recorded weight (g) / Weight on Discharge (g),!($NeoTreeOutcome = 'NND' or $NeoTreeOutcome = 'DDA' or $NeoTreeOutcome = 'BID' or $NeoTreeOutcome = 'ABS' or $NeoTreeOutcome = 'STB') | !($NeoTreeOutcome = 'NND' or $NeoTreeOutcome = 'DDA' or $NeoTreeOutcome = 'BID' or $NeoTreeOutcome = 'ABS'),"Shown when NOT (patient outcome is Died or patient outcome is Died During Admission or patient outcome is Brought in dead (arrived deceased) or patient outcome is Absconded or patient outcome is Stillbirth)
Shown when NOT (patient outcome is Died or patient outcome is Died During Admission or patient outcome is Brought in dead (arrived deceased) or patient outcome is Absconded)","Chinhoyi Provincial Hospital Discharge, Parirenyatwa Group of Hospitals Discharge, Sally Mugabe CH Discharge"
Brought In Dead (BID) — outcome routing,BID = Brought In Dead: the baby arrived at the facility already deceased. The form routes to a specific set of fields for BID cases, hiding fields that are only relevant for live admissions (e.g. treatments, feeding, follow-up). This is the most frequent source of -7 codes after dumpsite cases.,FeedDsch,Feeding Discharge,"!($NeoTreeOutcome = 'BID')
!($NeoTreeOutcome = 'DDA')
!($NeoTreeOutcome = 'NND') | !($NeoTreeOutcome = 'BID')
!($NeoTreeOutcome = 'DDA')
!($NeoTreeOutcome = 'NND')
!($NeoTreeOutcome = 'STB')","Shown when patient outcome is not Brought in dead (arrived deceased), Died During Admission or Died
Shown when patient outcome is not Brought in dead (arrived deceased), Died During Admission, Died or Stillbirth","Parirenyatwa Group of Hospitals Discharge, Sally Mugabe CH Discharge"
Brought In Dead (BID) — outcome routing,BID = Brought In Dead: the baby arrived at the facility already deceased. The form routes to a specific set of fields for BID cases, hiding fields that are only relevant for live admissions (e.g. treatments, feeding, follow-up). This is the most frequent source of -7 codes after dumpsite cases.,FeedsAdm,Feeds received / Feeds received during admission,"$NeoTreeOutcome != 'BID' | $NeoTreeOutcome != 'BID'
$NeoTreeOutcome != 'DDA' | $NeoTreeOutcome != 'NND' or $NeoTreeOutcome != 'STB' | $NeoTreeOutcome = 'DC' or $NeoTreeOutcome = 'ABS' or $NeoTreeOUtcome = 'TRO' or $NeoTreeOutcome = 'TRH' or $NeoTreeOutcome = 'NND<24' or $NeoTreeOutcome = 'NND>24' or $NeoTreeOutcome = 'DCR' or $NeoTreeOutcome = 'DPC' | $NeoTreeOutcome = 'DC' or $NeoTreeOutcome = 'ABS' or $NeoTreeOUtcome = 'TRO' or $NeoTreeOutcome = 'TRH' or $NeoTreeOutcome = 'NND<24' or $NeoTreeOutcome = 'NND>24' or $NeoTreeOutcome = 'DCR' or $NeoTreeOutcome = 'DPC' or $NeoTreeOutcome = 'DCKMC'","Shown when patient outcome is not Brought in dead (arrived deceased)
Shown when patient outcome is not Brought in dead (arrived deceased), and patient outcome is not Died During Admission
Shown when patient outcome is not Died or patient outcome is not Stillbirth
Shown when patient outcome is Discharged or patient outcome is Absconded or patient outcome is ""TRO"" or patient outcome is Transferred to other hospital or patient outcome is Death (at LESS than 24 hrs of age) or patient outcome is Death (at MORE than 24 hrs of age) or patient outcome is Discharged on Request or patient outcome is Discharge on Palliative Care
Shown when patient outcome is Discharged or patient outcome is Absconded or patient outcome is ""TRO"" or patient outcome is Transferred to other hospital or patient outcome is Death (at LESS than 24 hrs of age) or patient outcome is Death (at MORE than 24 hrs of age) or patient outcome is Discharged on Request or patient outcome is Discharge on Palliative Care or patient outcome is Discharge on KMC","Bindura Hospital Discharge, Chinhoyi Provincial Hospital Discharge, Kasungu District Hospital Neotree Discharge, NeoDischarge, Parirenyatwa Group of Hospitals Discharge, Sally Mugabe CH Discharge"
Brought In Dead (BID) — outcome routing,BID = Brought In Dead: the baby arrived at the facility already deceased. The form routes to a specific set of fields for BID cases, hiding fields that are only relevant for live admissions (e.g. treatments, feeding, follow-up). This is the most frequent source of -7 codes after dumpsite cases.,FeedsDsc,Feeds at Discharge,"!$NeoTreeOutcome = 'NND<24'
!$NeoTreeOutcome = 'NND>24'
!$NeoTreeOutcome = ‘ABS’
!$NeoTreeOutcome = ‘BID’
!$NeoTreeOutcome = ‘BID’
!$NeoTreeOutcome = ‘DDA’
!$NeoTreeOutcome = ‘STB’ | $NeoTreeOutcome != 'NND' 
$NeoTreeOutcome != 'STB'","Shown when patient outcome is not Death (at LESS than 24 hrs of age), Death (at MORE than 24 hrs of age), ""‘ABS’"", ""‘BID’"", ""‘BID’"", ""‘DDA’"" or ""‘STB’""
Shown when patient outcome is not Died, and patient outcome is not Stillbirth","Bindura Hospital Discharge, Chinhoyi Provincial Hospital Discharge, Kasungu District Hospital Neotree Discharge, NeoDischarge"
Brought In Dead (BID) — outcome routing,BID = Brought In Dead: the baby arrived at the facility already deceased. The form routes to a specific set of fields for BID cases, hiding fields that are only relevant for live admissions (e.g. treatments, feeding, follow-up). This is the most frequent source of -7 codes after dumpsite cases.,Gender,Sex,$NeoTreeOutcome = 'BID',Shown when patient outcome is Brought in dead (arrived deceased),"Kasungu District Hospital Neotree Discharge, NeoDischarge, Parirenyatwa Group of Hospitals Discharge, Sally Mugabe CH Discharge"
Brought In Dead (BID) — outcome routing,BID = Brought In Dead: the baby arrived at the facility already deceased. The form routes to a specific set of fields for BID cases, hiding fields that are only relevant for live admissions (e.g. treatments, feeding, follow-up). This is the most frequent source of -7 codes after dumpsite cases.,HighRisk,Does this baby need a high risk sticker?,!($NeoTreeOutcome = 'NND' or $NeoTreeOutcome = 'DDA' or NeoTreeOutcome = 'BID'),Shown when NOT (patient outcome is Died or patient outcome is Died During Admission or patient outcome is Brought in dead (arrived deceased)),Sally Mugabe CH Discharge
Brought In Dead (BID) — outcome routing,BID = Brought In Dead: the baby arrived at the facility already deceased. The form routes to a specific set of fields for BID cases, hiding fields that are only relevant for live admissions (e.g. treatments, feeding, follow-up). This is the most frequent source of -7 codes after dumpsite cases.,IMAGING,Imaging during admission,"!($NeoTreeOutcome = 'BID')
!($NeoTreeOutcome = 'DDA')
!($NeoTreeOutcome = 'NND') | $NeoTreeOutcome != 'BID' and $DRU = false","Shown when patient outcome is not Brought in dead (arrived deceased), Died During Admission or Died
Shown when patient outcome is not Brought in dead (arrived deceased), and drug used: No","Parirenyatwa Group of Hospitals Discharge, Sally Mugabe CH Discharge"
Brought In Dead (BID) — outcome routing,BID = Brought In Dead: the baby arrived at the facility already deceased. The form routes to a specific set of fields for BID cases, hiding fields that are only relevant for live admissions (e.g. treatments, feeding, follow-up). This is the most frequent source of -7 codes after dumpsite cases.,LP,Lumbar puncture performed?,$NeoTreeOutcome != 'BID' | $NeoTreeOutcome != 'BID' and $DRU = false,"Shown when patient outcome is not Brought in dead (arrived deceased)
Shown when patient outcome is not Brought in dead (arrived deceased), and drug used: No","Parirenyatwa Group of Hospitals Discharge, Sally Mugabe CH Discharge"
Brought In Dead (BID) — outcome routing,BID = Brought In Dead: the baby arrived at the facility already deceased. The form routes to a specific set of fields for BID cases, hiding fields that are only relevant for live admissions (e.g. treatments, feeding, follow-up). This is the most frequent source of -7 codes after dumpsite cases.,MatAdmit,Mother Admitted,$MatOutcome = 'A' | $NeoTreeOutcome = 'DC' and $MatOutcome = 'A',"Shown when maternal outcome is Alive
Shown when patient outcome is Discharged, and maternal outcome is Alive","Bindura Hospital Discharge, Chinhoyi Provincial Hospital Discharge, Parirenyatwa Group of Hospitals Discharge, Sally Mugabe CH Discharge"
Brought In Dead (BID) — outcome routing,BID = Brought In Dead: the baby arrived at the facility already deceased. The form routes to a specific set of fields for BID cases, hiding fields that are only relevant for live admissions (e.g. treatments, feeding, follow-up). This is the most frequent source of -7 codes after dumpsite cases.,MecThickThin,Thick / Thin,$MecPresent = 'Yes' | $NeoTreeOutcome = 'BID' and $MecPresent = 'Yes',"Shown when meconium present is Yes
Shown when patient outcome is Brought in dead (arrived deceased), and meconium present is Yes","Generic PHC Admission, Kasungu District Hospital Neotree Admission, Kasungu District Hospital Neotree Discharge, NeoDischarge, Neotree Admission, Parirenyatwa Group of Hospitals Discharge, Sally Mugabe CH Discharge"
Brought In Dead (BID) — outcome routing,BID = Brought In Dead: the baby arrived at the facility already deceased. The form routes to a specific set of fields for BID cases, hiding fields that are only relevant for live admissions (e.g. treatments, feeding, follow-up). This is the most frequent source of -7 codes after dumpsite cases.,MedsGiven,Medications given during admission,$NeoTreeOutcome = 'DC' or $NeoTreeOutcome = 'ABS' or $NeoTreeOutcome = 'TRH' or $NeoTreeOutcome = 'TRO' or $NeoTreeOutcome = 'NND<24' or $NeoTreeOutcome = 'NND>24' or $NeoTreeOutcome = 'DCR' or $NeoTreeOutcome = 'DPC' | $NeoTreeOutcome = 'DC' or $NeoTreeOutcome = 'ABS' or $NeoTreeOutcome = 'TRH' or $NeoTreeOutcome = 'TRO' or $NeoTreeOutcome = 'NND<24' or $NeoTreeOutcome = 'NND>24' or $NeoTreeOutcome = 'DCR' or $NeoTreeOutcome = 'DPC' or $NeoTreeOutcome = 'DCKMC',"Shown when patient outcome is Discharged or patient outcome is Absconded or patient outcome is Transferred to other hospital or patient outcome is Transferred to other ward or patient outcome is Death (at LESS than 24 hrs of age) or patient outcome is Death (at MORE than 24 hrs of age) or patient outcome is Discharged on Request or patient outcome is Discharge on Palliative Care
Shown when patient outcome is Discharged or patient outcome is Absconded or patient outcome is Transferred to other hospital or patient outcome is Transferred to other ward or patient outcome is Death (at LESS than 24 hrs of age) or patient outcome is Death (at MORE than 24 hrs of age) or patient outcome is Discharged on Request or patient outcome is Discharge on Palliative Care or patient outcome is Discharge on KMC","Kasungu District Hospital Neotree Discharge, NeoDischarge"
